image_id,condition,SSIM0,SSIM1,delta,output_path,output_sha256,reference_path,reference_sha256
50844,clean,1.0,1.0,0.0,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/000/outputs.pt,a7afcb1ce95be4ad212e5256af8625875827a792a43ac7b814d49c5960148af0,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/000/outputs.pt,a7afcb1ce95be4ad212e5256af8625875827a792a43ac7b814d49c5960148af0
50844,homogeneous_dark,0.6990547402163719,0.7091367053882534,0.010081965171881424,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/001/outputs.pt,7dfcc65fc3f12a2feb5d7c5b12bf29f6d451c73afa57261ee109aa13a3f3698e,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/000/outputs.pt,a7afcb1ce95be4ad212e5256af8625875827a792a43ac7b814d49c5960148af0
50844,homogeneous_bright,0.8443032186666363,0.8545295796035329,0.010226360936896661,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/002/outputs.pt,58ea37c36a4cf137d719b46511db2ae8c71d8995e9d1dac435b2fad46964b1ab,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/000/outputs.pt,a7afcb1ce95be4ad212e5256af8625875827a792a43ac7b814d49c5960148af0
50844,left_right,0.7012751303317956,0.7372541429452439,0.03597901261344838,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/003/outputs.pt,3e71c4eb42423d712799975c013aa233a92be665e3c177badc64fcc073db8036,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/000/outputs.pt,a7afcb1ce95be4ad212e5256af8625875827a792a43ac7b814d49c5960148af0
50844,quadrants,0.8119483659487283,0.8291205644214893,0.01717219847276097,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/004/outputs.pt,e071d544c2b28f7439c3ee890516024f686a90c516fbf54f786f84134d6a9402,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/000/outputs.pt,a7afcb1ce95be4ad212e5256af8625875827a792a43ac7b814d49c5960148af0
50896,clean,1.0,1.0,0.0,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/006/outputs.pt,323dcca3c3e33c36a1140a4280234f2012dec9b394de61c7d8a1769205f259f1,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/006/outputs.pt,323dcca3c3e33c36a1140a4280234f2012dec9b394de61c7d8a1769205f259f1
50896,homogeneous_dark,0.6361628237752236,0.6361628237752236,0.0,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/007/outputs.pt,e31f28e2b7a69ac534c4f29273b628d9f674b8bd2e89662f94e6341d1999edfb,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/006/outputs.pt,323dcca3c3e33c36a1140a4280234f2012dec9b394de61c7d8a1769205f259f1
50896,homogeneous_bright,0.8948432254151892,0.9051371597009443,0.01029393428575509,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/008/outputs.pt,ead4331e9b56e9e31a6e61880d15305a4fed1c8ec38313ff503db215495a4eef,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/006/outputs.pt,323dcca3c3e33c36a1140a4280234f2012dec9b394de61c7d8a1769205f259f1
50896,left_right,0.7171926208216904,0.7846607641538752,0.06746814333218476,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/009/outputs.pt,b9b588dd8d446a70e0b53dcbf2a4945ad1ec57f13a02e82f01c9018152f93544,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/006/outputs.pt,323dcca3c3e33c36a1140a4280234f2012dec9b394de61c7d8a1769205f259f1
50896,quadrants,0.7779750357791988,0.776915357049891,-0.0010596787293077892,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/010/outputs.pt,481ef5d1281db4e374d8da9c65101ce044aaa071148ac5924b3f7e127871c32b,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/006/outputs.pt,323dcca3c3e33c36a1140a4280234f2012dec9b394de61c7d8a1769205f259f1
51008,clean,1.0,1.0,0.0,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/012/outputs.pt,4cba84f7447b56a0ca92921135ac9e6eeafdf1f64af133091444d67d16a0e0d8,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/012/outputs.pt,4cba84f7447b56a0ca92921135ac9e6eeafdf1f64af133091444d67d16a0e0d8
51008,homogeneous_dark,0.6723281642140804,0.8670405511550067,0.1947123869409263,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/013/outputs.pt,b37b1090e5fdb3451b2e34bc442c1a5685929f4f8b5dc9784b65bc1b54515055,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/012/outputs.pt,4cba84f7447b56a0ca92921135ac9e6eeafdf1f64af133091444d67d16a0e0d8
51008,homogeneous_bright,0.8611794622453696,0.8944524458438283,0.03327298359845876,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/014/outputs.pt,2f9e99186d1ff14e04a66d7cbac91d9b0d4cbf0821f48c8a7fadd42534599258,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/012/outputs.pt,4cba84f7447b56a0ca92921135ac9e6eeafdf1f64af133091444d67d16a0e0d8
51008,left_right,0.8464062263503482,0.9104368090051542,0.06403058265480599,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/015/outputs.pt,b5f1eea513f1fde9210d8ac9aa4659bb48c5fdb536d2c0fe2ac5ac5829051727,/media/wenchang/F/wjq/TTIE/runs/20260912-191947-ttie-t014-stage-b/artifacts/audit/episodes/012/outputs.pt,4cba84f7447b56a0ca92921135ac9e6eeafdf1f64af133091444d67d16a0e0d8
